owner,repo,doc_quality_score,readme_found,readme_size_bytes,sections_found,missing_sections,has_code_examples,has_screenshots,has_security_info,has_license_info,readability_score
prisma,prisma,7.6,Yes,12555,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; testing; advanced_usage,,Yes,Yes,Yes,Yes,3.5
src,everything,0,No,0,,,No,No,No,No,0
src,google-maps,0,No,0,,,No,No,No,No,0
src,slack,0,No,0,,,No,No,No,No,0
src,sentry,0,No,0,,,No,No,No,No,0
src,filesystem,0,No,0,,,No,No,No,No,0
src,fetch,0,No,0,,,No,No,No,No,0
src,github,0,No,0,,,No,No,No,No,0
src,brave-search,0,No,0,,,No,No,No,No,0
src,puppeteer,0,No,0,,,No,No,No,No,0
baranwang,mcp-tung-shing,3.7,Yes,1552,cli; screenshots; code_examples; contribution; license; project_info; testing,installation; usage; configuration; api_reference; error_handling,Yes,Yes,No,Yes,3.5
mikhael-abdallah,mcp-revisor-server,6.7,Yes,2266,installation; usage; configuration; security; error_handling; cli; screenshots; code_examples; contribution; license; tools_reference; requirements; testing; advanced_usage,api_reference; project_info,Yes,Yes,Yes,Yes,5.0
cloudflare,workers-mcp,6.8,Yes,4532,installation; usage; configuration; api_reference; error_handling; cli; screenshots; code_examples; contribution; project_info; tools_reference; testing; advanced_usage,license,Yes,Yes,No,No,5.0
shibayu36,mysql-schema-explorer-mcp,2.5,Yes,1123,installation; code_examples; contribution; testing,usage; configuration; api_reference; error_handling; license; project_info,Yes,No,No,No,3.5
jonathanfischer97,juliadoc-mcp,6.1,Yes,2169,installation; configuration; api_reference; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements,usage,Yes,Yes,No,Yes,5.0
jmanhype,mcp-flux-studio,7.4,Yes,5208,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,,Yes,Yes,Yes,Yes,3.5
syedazharmbnr1,claude-chatgpt-mcp,7.0,Yes,2030,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements,,Yes,Yes,Yes,Yes,5.0
smhnkmr,realtime-crypto-mcp-server,7.3,Yes,2569,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing,,Yes,Yes,Yes,Yes,5.0
bacoco,ai-expert-workflow-mcp,7.8,Yes,22207,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing,,Yes,Yes,Yes,Yes,5.0
infinitiq-tech,mcp-jira,6.8,Yes,4245,installation; usage; configuration; api_reference; security; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements,error_handling,Yes,Yes,Yes,Yes,5.0
